,time,count_schumer
1,2018-01-20 00:00:00,5382
2,2018-01-20 00:10:00,5393
3,2018-01-20 00:20:00,5320
4,2018-01-20 00:30:00,5258
5,2018-01-20 00:40:00,5133
6,2018-01-20 00:50:00,5066
7,2018-01-20 01:00:00,5790
8,2018-01-20 01:10:00,5608
9,2018-01-20 01:20:00,5095
10,2018-01-20 01:30:00,5295
11,2018-01-20 01:40:00,5328
12,2018-01-20 01:50:00,5005
13,2018-01-20 02:00:00,4879
14,2018-01-20 02:10:00,5279
15,2018-01-20 02:20:00,5781
16,2018-01-20 02:30:00,6220
17,2018-01-20 02:40:00,6584
18,2018-01-20 02:50:00,6121
19,2018-01-20 03:00:00,5488
20,2018-01-20 03:10:00,5802
21,2018-01-20 03:20:00,6369
22,2018-01-20 03:30:00,8094
23,2018-01-20 03:40:00,7778
24,2018-01-20 03:50:00,9298
25,2018-01-20 04:00:00,8554
26,2018-01-20 04:10:00,8889
27,2018-01-20 04:20:00,9949
28,2018-01-20 04:30:00,9284
29,2018-01-20 04:40:00,8753
30,2018-01-20 04:50:00,9412
31,2018-01-20 05:00:00,12196
32,2018-01-20 05:10:00,11229
33,2018-01-20 05:20:00,11403
34,2018-01-20 05:30:00,16114
35,2018-01-20 05:40:00,14710
36,2018-01-20 05:50:00,12906
37,2018-01-20 06:00:00,11757
38,2018-01-20 06:10:00,9934
39,2018-01-20 06:20:00,8873
40,2018-01-20 06:30:00,7878
41,2018-01-20 06:40:00,6893
42,2018-01-20 06:50:00,5782
43,2018-01-20 07:00:00,5492
44,2018-01-20 07:10:00,4941
45,2018-01-20 07:20:00,4492
46,2018-01-20 07:30:00,4349
47,2018-01-20 07:40:00,3692
48,2018-01-20 07:50:00,3532
49,2018-01-20 08:00:00,3504
50,2018-01-20 08:10:00,3158
51,2018-01-20 08:20:00,2888
52,2018-01-20 08:30:00,2525
53,2018-01-20 08:40:00,2519
54,2018-01-20 08:50:00,2233
55,2018-01-20 09:00:00,2120
56,2018-01-20 09:10:00,2157
57,2018-01-20 09:20:00,2289
58,2018-01-20 09:30:00,2036
59,2018-01-20 09:40:00,1949
60,2018-01-20 09:50:00,2124
61,2018-01-20 10:00:00,2020
62,2018-01-20 10:10:00,2231
63,2018-01-20 10:20:00,2272
64,2018-01-20 10:30:00,2666
65,2018-01-20 10:40:00,2876
66,2018-01-20 10:50:00,2938
67,2018-01-20 11:00:00,2858
68,2018-01-20 11:10:00,3164
69,2018-01-20 11:20:00,3402
70,2018-01-20 11:30:00,3859
71,2018-01-20 11:40:00,4423
72,2018-01-20 11:50:00,4495
73,2018-01-20 12:00:00,4890
74,2018-01-20 12:10:00,5990
75,2018-01-20 12:20:00,6489
76,2018-01-20 12:30:00,6738
77,2018-01-20 12:40:00,6949
78,2018-01-20 12:50:00,8034
79,2018-01-20 13:00:00,8811
80,2018-01-20 13:10:00,9338
81,2018-01-20 13:20:00,9323
82,2018-01-20 13:30:00,9679
83,2018-01-20 13:40:00,9944
84,2018-01-20 13:50:00,10182
85,2018-01-20 14:00:00,10323
86,2018-01-20 14:10:00,10398
87,2018-01-20 14:20:00,10773
88,2018-01-20 14:30:00,10684
89,2018-01-20 14:40:00,10737
90,2018-01-20 14:50:00,10824
91,2018-01-20 15:00:00,10334
92,2018-01-20 15:10:00,10848
93,2018-01-20 15:20:00,10327
94,2018-01-20 15:30:00,10034
95,2018-01-20 15:40:00,9587
96,2018-01-20 15:50:00,9898
97,2018-01-20 16:00:00,9341
98,2018-01-20 16:10:00,9650
99,2018-01-20 16:20:00,9137
100,2018-01-20 16:30:00,8816
101,2018-01-20 16:40:00,9468
102,2018-01-20 16:50:00,8901
103,2018-01-20 17:00:00,8472
104,2018-01-20 17:10:00,9693
105,2018-01-20 17:20:00,9363
106,2018-01-20 17:30:00,10938
107,2018-01-20 17:40:00,10911
108,2018-01-20 17:50:00,10302
109,2018-01-20 18:00:00,13028
110,2018-01-20 18:10:00,15466
111,2018-01-20 18:20:00,12505
112,2018-01-20 18:30:00,11242
113,2018-01-20 18:40:00,11199
114,2018-01-20 18:50:00,10985
115,2018-01-20 19:00:00,10877
116,2018-01-20 19:10:00,10655
117,2018-01-20 19:20:00,10468
118,2018-01-20 19:30:00,10425
119,2018-01-20 19:40:00,10768
120,2018-01-20 19:50:00,10270
121,2018-01-20 20:00:00,10292
122,2018-01-20 20:10:00,9888
123,2018-01-20 20:20:00,9052
124,2018-01-20 20:30:00,8645
125,2018-01-20 20:40:00,8514
126,2018-01-20 20:50:00,8596
127,2018-01-20 21:00:00,8342
128,2018-01-20 21:10:00,8202
129,2018-01-20 21:20:00,7970
130,2018-01-20 21:30:00,7797
131,2018-01-20 21:40:00,7755
132,2018-01-20 21:50:00,7599
133,2018-01-20 22:00:00,7448
134,2018-01-20 22:10:00,7490
135,2018-01-20 22:20:00,7544
136,2018-01-20 22:30:00,7381
137,2018-01-20 22:40:00,7768
138,2018-01-20 22:50:00,7745
139,2018-01-20 23:00:00,7922
140,2018-01-20 23:10:00,7835
141,2018-01-20 23:20:00,7642
142,2018-01-20 23:30:00,7519
143,2018-01-20 23:40:00,8760
144,2018-01-20 23:50:00,8892
