created at,id,favorite count,retweet count,is retweet,source,in reply to user_id,text
Mon Jan 01 13:37:52 +0000 2018,947824196909961216,51473,8237,False,Twitter for iPhone,,"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!"
Mon Jan 01 12:44:40 +0000 2018,947810806430826496,53557,14595,False,Twitter for iPhone,25073877,"Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!"
Mon Jan 01 12:12:00 +0000 2018,947802588174577664,138808,49566,False,Twitter for iPhone,,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp; deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!"
Sun Dec 31 23:43:04 +0000 2017,947614110082043904,154769,35164,False,Twitter for iPhone,,"HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!"
Sun Dec 31 22:18:20 +0000 2017,947592785519173637,157655,39428,False,Twitter for iPhone,,"As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!"
Sun Dec 31 22:00:21 +0000 2017,947588263103139841,87056,27984,False,Twitter for iPhone,,"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!"
Sun Dec 31 19:06:52 +0000 2017,947544600918372353,100219,26433,False,Media Studio,,"What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG"
Sun Dec 31 18:36:28 +0000 2017,947536951464333318,75704,16989,False,Twitter for iPhone,,"My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We love our police and law enforcement - God Bless them all! #LESM"
Sun Dec 31 13:36:32 +0000 2017,947461470924820480,106000,25981,False,Twitter for iPhone,,"Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts &amp; more?"
Sun Dec 31 13:26:29 +0000 2017,947458942719979520,63245,14449,False,Twitter for iPhone,,"If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! https://t.co/9TzSC8F8vY"
