created_at,id,favorite_count,retweet_count,is_retweet,source,in_reply_to_user_id,text
Thu Jan 18 01:11:26 +0000 2018,953796944564031489,71774,17774,False,Twitter for iPhone,,"ISIS is in retreat, our economy is booming, investments and jobs are pouring back into the country, and so much more! Together there is nothing we can’t overcome--even a very biased media. We ARE Making America Great Again!"
Thu Jan 18 01:05:46 +0000 2018,953795518592843777,49018,11067,False,Twitter for iPhone,,"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD NEWS for the American people to be proud of!"
Thu Jan 18 01:00:05 +0000 2018,953794085751574534,44951,18342,False,Twitter for iPhone,,"And the FAKE NEWS winners are...
https://t.co/59G6x2f7fD"
Wed Jan 17 23:36:44 +0000 2018,953773110553186312,37967,9460,False,Twitter for iPhone,,Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOLLARS. https://t.co/kDcGbMieSt
Wed Jan 17 23:32:58 +0000 2018,953772162665590787,51921,13659,False,Twitter for iPhone,,"During the campaign, I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I am very proud to see companies like Chrysler moving operations from Mexico to Michigan where there are so many great American workers! https://t.co/hz2q9UTfnF"
Wed Jan 17 23:28:30 +0000 2018,953771038114045954,51641,14273,False,Twitter for iPhone,,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States. Great to see Apple follow through as a result of TAX CUTS. Huge win for American workers and the USA! https://t.co/OwXVUyLOb1
Wed Jan 17 23:19:02 +0000 2018,953768657221451776,40446,9228,False,Media Studio,,"Today, we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our friend, and true AMERICAN HERO, Bob Dole. #CongressionalGoldMedal https://t.co/qNQqDLRmCk"
Wed Jan 17 13:04:46 +0000 2018,953614071336701952,45934,5996,False,Twitter for iPhone,,Eric Trump on @foxandfriends  now!
Tue Jan 16 23:20:10 +0000 2018,953406553083777029,72509,17514,False,Twitter for iPhone,25073877,"....we need to keep America safe, including moving away from a random chain migration and lottery system, to one that is merit-based. https://t.co/7PtoSFK1n2"
Tue Jan 16 23:19:39 +0000 2018,953406423177859073,90100,24054,False,Twitter for iPhone,,New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-born. We have submitted to Congress a list of resources and reforms....
Tue Jan 16 20:17:39 +0000 2018,953360619834691585,50175,9365,False,Twitter for iPhone,,"Today, it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! https://t.co/TerYFZViax"
Tue Jan 16 19:43:32 +0000 2018,953352036309000194,66453,18459,False,Twitter for iPhone,,"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day” https://t.co/bD3R2dJfyp"
Tue Jan 16 14:30:00 +0000 2018,953273134655987716,106038,27260,False,Twitter for iPhone,,"Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubled. Thank you, and it will get even (much) better! @FoxNews"
Tue Jan 16 14:24:40 +0000 2018,953271789790138368,68057,16036,False,Twitter for iPhone,,“90% of Trump 2017 news coverage was negative” -and much of it contrived!@foxandfriends
Tue Jan 16 14:19:46 +0000 2018,953270558573154305,104034,25385,False,Twitter for iPhone,,"Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news, but rather talks about anything negative or that can be turned into the negative. The Russian Collusion Hoax is dead, except as it pertains to the Dems. Public gets it!"
Tue Jan 16 14:07:38 +0000 2018,953267506004754432,93532,22950,False,Twitter for iPhone,,"The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be our rapidly rebuilding Military, at a time we need it more than ever. We need a merit based system of immigration, and we need it now! No more dangerous Lottery."
Tue Jan 16 13:54:02 +0000 2018,953264081871495168,110298,24196,False,Twitter for iPhone,,"We must have Security at our VERY DANGEROUS SOUTHERN BORDER, and we must have a great WALL to help protect us, and to help stop the massive inflow of drugs pouring into our country!"
Tue Jan 16 00:55:35 +0000 2018,953068179919638528,0,30108,True,Twitter for iPhone,,RT @realDonaldTrump: Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no t…
Tue Jan 16 00:53:38 +0000 2018,953067686313037829,0,27608,True,Twitter for iPhone,,"RT @realDonaldTrump: DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately needed m…"
Tue Jan 16 00:53:19 +0000 2018,953067606612828161,0,39445,True,Twitter for iPhone,,"RT @realDonaldTrump: I, as President, want people coming into our Country who are going to help us become strong and great again, people co…"
Tue Jan 16 00:52:48 +0000 2018,953067477830946816,0,19043,True,Twitter for iPhone,,RT @realDonaldTrump: ...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the poli…
Tue Jan 16 00:52:43 +0000 2018,953067456255406081,0,24846,True,Twitter for iPhone,,"RT @realDonaldTrump: “President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 workers…"
Tue Jan 16 00:50:19 +0000 2018,953066854079135744,0,13190,True,Twitter for iPhone,,"RT @EricTrump: I will be always be incredibly proud of my work for @StJude, raising $16.3+ million dollars over the last 10 years at a 9.2%…"
