TREND,DATETIME_UTC,WOEID,LOCATION_NAME,TREND_POSITION
#TrumpShutdown,2018-01-18 10:25:36,2486982,St. Louis,38
#TrumpShutdown,2018-01-18 10:25:38,2391279,Denver,40
#TrumpShutdown,2018-01-18 10:25:38,2414469,Greensboro,38
#TrumpShutdown,2018-01-18 10:25:39,2458833,New Orleans,43
#TrumpShutdown,2018-01-18 10:30:28,2359991,Baton Rouge,42
#TrumpShutdown,2018-01-18 10:30:28,2388929,Dallas-Ft. Worth,39
#TrumpShutdown,2018-01-18 10:30:28,2407517,Fresno,39
#TrumpShutdown,2018-01-18 10:30:29,2358820,Baltimore,41
#TrumpShutdown,2018-01-18 10:30:29,2364559,Birmingham,38
#TrumpShutdown,2018-01-18 10:30:29,2423945,Honolulu,39
#TrumpShutdown,2018-01-18 10:30:30,2379574,Chicago,43
#TrumpShutdown,2018-01-18 10:30:30,2383489,Colorado Springs,38
#TrumpShutdown,2018-01-18 10:30:30,2383660,Columbus,41
#TrumpShutdown,2018-01-18 10:30:30,2442047,Los Angeles,40
#TrumpShutdown,2018-01-18 10:30:30,2460389,Norfolk,38
#TrumpShutdown,2018-01-18 10:30:30,2478307,Raleigh,38
#TrumpShutdown,2018-01-18 10:30:31,2397816,El Paso,38
#TrumpShutdown,2018-01-18 10:30:31,2418046,Harrisburg,38
#TrumpShutdown,2018-01-18 10:30:31,2428344,Jacksonville,38
#TrumpShutdown,2018-01-18 10:30:31,2514815,Washington,37
#TrumpShutdown,2018-01-18 10:30:32,2450022,Miami,38
#TrumpShutdown,2018-01-18 10:30:32,2452078,Minneapolis,38
#TrumpShutdown,2018-01-18 10:30:32,2465512,Omaha,43
#TrumpShutdown,2018-01-18 10:30:33,23424977,United States,37
#TrumpShutdown,2018-01-18 10:30:33,2466256,Orlando,38
#TrumpShutdown,2018-01-18 10:30:33,2487610,Salt Lake City,42
#TrumpShutdown,2018-01-18 10:30:34,2451822,Milwaukee,40
#TrumpShutdown,2018-01-18 10:30:34,2458410,New Haven,38
#TrumpShutdown,2018-01-18 10:30:34,2473224,Pittsburgh,41
